"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年8月9日","13.91","14.09","14.11","13.86","2.12M","-1.97%"
"2019年8月8日","14.19","14.19","14.36","13.94","2.48M","1.07%"
"2019年8月7日","14.04","14.16","14.39","13.67","4.30M","0.65%"
"2019年8月6日","13.95","14.26","14.54","13.88","4.84M","1.01%"
"2019年8月5日","13.81","14.20","14.29","13.61","7.19M","-6.18%"
"2019年8月2日","14.72","14.70","14.79","14.21","2.14M","-0.20%"
"2019年8月1日","14.75","15.25","15.49","14.60","2.56M","-2.64%"
"2019年7月31日","15.15","15.50","15.50","14.90","3.21M","-2.19%"
"2019年7月30日","15.49","15.90","16.03","15.37","2.58M","-3.97%"
"2019年7月29日","16.13","16.00","16.15","15.77","1.54M","1.07%"
"2019年7月26日","15.96","15.76","16.20","15.75","1.75M","1.66%"
"2019年7月25日","15.70","15.87","15.99","15.50","2.06M","-0.63%"
"2019年7月24日","15.80","15.84","15.95","15.72","1.91M","0.57%"
"2019年7月23日","15.71","15.78","16.18","15.70","4.33M","0.96%"
"2019年7月22日","15.56","15.78","16.24","15.41","2.59M","0.13%"
"2019年7月19日","15.54","15.66","15.80","15.43","2.03M","0.06%"
"2019年7月18日","15.53","15.50","15.62","15.06","2.00M","-0.32%"
"2019年7月17日","15.58","16.10","16.10","15.36","2.82M","-3.05%"
"2019年7月16日","16.07","16.50","16.55","16.05","1.33M","-2.31%"
"2019年7月15日","16.45","16.58","16.66","16.41","1.49M","0.30%"
"2019年7月12日","16.40","16.60","16.75","16.32","1.40M","-0.43%"
"2019年7月11日","16.47","16.65","16.70","16.33","1.15M","-0.72%"
"2019年7月10日","16.59","16.70","16.83","16.48","2.01M","-0.06%"
"2019年7月9日","16.60","16.30","16.66","16.18","1.39M","0.24%"
"2019年7月8日","16.56","16.50","16.61","16.40","1.08M","-1.08%"
"2019年7月5日","16.74","16.52","16.80","16.40","956.43K","0.66%"
"2019年7月3日","16.63","16.60","16.66","16.30","1.19M","0.12%"
"2019年7月2日","16.61","16.42","16.70","16.25","2.95M","0.79%"
"2019年7月1日","16.48","16.55","16.82","16.26","4.60M","1.29%"
"2019年6月28日","16.27","15.89","16.28","15.82","1.85M","1.06%"
"2019年6月27日","16.10","16.07","16.25","15.94","2.74M","0.81%"
"2019年6月26日","15.97","15.90","16.23","15.90","1.91M","2.11%"
"2019年6月25日","15.64","15.88","16.14","15.47","2.84M","-2.68%"
"2019年6月24日","16.07","15.44","16.24","15.28","3.68M","4.08%"
"2019年6月21日","15.44","15.34","15.57","15.10","2.68M","-0.90%"
"2019年6月20日","15.58","15.57","15.93","15.48","3.13M","2.57%"
"2019年6月19日","15.19","15.23","15.34","14.95","955.03K","0.20%"
"2019年6月18日","15.16","14.59","15.50","14.50","4.47M","5.57%"
"2019年6月17日","14.36","14.20","14.58","14.19","1.46M","0.63%"
"2019年6月14日","14.27","14.33","14.45","14.01","2.58M","-1.45%"
"2019年6月13日","14.48","14.62","14.80","14.25","3.09M","-1.43%"
"2019年6月12日","14.69","14.56","14.78","14.41","1.47M","-1.54%"
"2019年6月11日","14.92","15.51","15.63","14.54","5.31M","-0.93%"
"2019年6月10日","15.06","14.91","15.31","14.88","3.58M","1.76%"
"2019年6月7日","14.80","14.15","15.10","14.10","5.00M","4.45%"
"2019年6月6日","14.17","13.90","14.34","13.73","2.65M","1.29%"
"2019年6月5日","13.99","14.42","14.45","13.48","6.16M","-0.85%"
"2019年6月4日","14.11","13.45","14.28","13.27","5.36M","4.67%"
"2019年6月3日","13.48","13.51","13.79","13.23","5.50M","-0.15%"
"2019年5月31日","13.50","13.63","13.72","13.30","2.89M","-2.81%"
